id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
29564,39853,The Gladiator: Road of the Sword,NULL,2003-06-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
147651,5853,The Great Escape,NULL,2003-07-23 00:00:00.000,2,NULL,63.6667,4,NULL,NULL
62199,3945,The Haunted Mansion,NULL,2003-10-14 00:00:00.000,1,NULL,60.0000,2,51.0000,1
139806,3946,The Hobbit,"Embarking on the legendary quest armed initially with a stick and sack of stones, you'll fend off foes in a platform-action-style adventure which sees Bilbo go from timid Shireling to hobbit hero. As in the epic text, the tale begins with a group of nine dwarves recruiting the home-loving hobbit as a master thief for their mission to recover stolen ancestral gold from under the fiery snout of Smaug the dragon. The group head for the Lonely Mountain, stopping along the way to fight it out with a variety of Middle-earth's less-than-friendly inhabitants, such as giant spiders, murderous goblins and bloodthirsty trolls.",2003-10-24 00:00:00.000,10,NULL,59.0000,1,64.1705,23
166145,131067,The Incredible Hulk,NULL,2003-05-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
143964,3959,The Italian Job,NULL,2003-06-24 00:00:00.000,1,NULL,58.5000,3,47.0000,4
179241,207007,The King of Fighters,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
51204,15433,The King of Fighters 2003,NULL,2003-12-12 00:00:00.000,5,NULL,50.0000,1,51.4852,23
132343,56624,The Legend of Sword and Fairy 3,"Fei Peng, a divine general from Heaven, fights with Chong Lou, the Lord of Demons. Neither of them is able to defeat his opponent and they gradually become less willing to destroy each other out of mutual admiration. Chong Lou challenges Fei Peng to another battle to determine the final victor between the two of them. Fei Peng hesitates, because he will break Heaven's laws if he agrees, but eventually succumbs to temptation. The battle between Fei Peng and Chong Lou lasts several days and draws the attention of the Heavenly Emperor, who sends his troops to arrest Fei Peng. Fei Peng is distracted and loses to Chong Lou. His sword is knocked away by Chong Lou and falls into the human world below. Fei Peng is punished for breaking celestial rules by banishment from Heaven into the human realm. 
 
Fei Peng, now an ordinary human being, goes through the cycle of life and death numerous times, and is eventually reincarnated as Jing Tian, a young pawnshop worker in Yuzhou. He acquires a magical weapon, the Demon Sword, by chance. The spirit of Long Kui, the younger sister of Long Yang (one of Jing Tian's previous incarnations), resides in the sword, and she joins Jing Tian in his adventures. 
 
At the same time, he meets Tang Xuejian, a girl from the prestigious Tang clan. He is drawn into the internal conflict within Tang's family and the clash between the Tang clan and the Thunderbolt Hall. Subsequently, Jing Tian meets Xu Changqing, an outcast of the Mount Shu Sect, and Xu's fiancee, Zi Xuan. He joins them in their quest to find the five elemental pearls, which can seal all evil spirits and monsters in the Monster-Locking Tower.",2003-08-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
42710,45139,The Legend of Zelda: Collector's Edition,NULL,2003-11-07 00:00:00.000,2,NULL,NULL,NULL,80.0460,6
130004,131201,The Lord of the Rings Pinball,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
81567,2973,The Lord of the Rings: The Return of the King,NULL,2003-10-31 00:00:00.000,57,NULL,75.0000,2,76.4022,185
